Node
Carl Friedrich Gauss
Gerardus Mercator
Karl Weierstraß
Richard von Mises
Cornelius Lanczos
Karl Schwarzschild
John Venn
Vito Volterra
Heinrich Burkhardt
Robert Stawell Ball
Joseph Plateau
Harold Jeffreys
Ivan Ivanovich Zhegalkin
Giacinto Morera
Giacomo Albanese
Václav Hlavatý
Forest Ray Moulton
Tibor Radó
Pavel Aleksandrov
Auguste Kerckhoffs
Francesco Brioschi
Annie Scott Dill Maunder
Jerzy Neyman
S. R. Ranganathan
Benjamin Peirce
Pelageya Polubarinova-Kochina
"William Thomson, 1st Baron Kelvin"
Joseph-Émile Barbier
Jérôme Franel
Traian Lalescu
Horace Lamb
Horatio Scott Carslaw
Pierre Wantzel
Sergei Natanovich Bernstein
Corrado Segre
Gábor Szegő
Joseph Larmor
Alexander von Brill
Christian Heinrich von Nagel
Karl Bopp
Siegmund Günther
Ludwig Boltzmann
Christian Doppler
Friedrich Hultsch
Otakar Borůvka
Stefan Mazurkiewicz
Paul Montel
Luigi Bianchi
Guido Castelnuovo
Yevgraf Fyodorov
Arnaud Denjoy
Carl Anton Bjerknes
Nikoloz Muskhelishvili
Delfino Codazzi
Juliusz Schauder
Ronald Fisher
Tatyana Afanasyeva
Heinrich Liebmann
Alfred Kempe
Hermann Künneth
Ludwig Burmester
Friedrich Schilling
Alwin Korselt
George William Hill
Viktor Bunyakovsky
René-Louis Baire
Eugenio Beltrami
Solomon Lefschetz
Anders Wiman
Georges Henri Halphen
Teiji Takagi
André Sainte-Laguë
Cesare Arzelà
Edward Charles Titchmarsh
Dmitri Egorov
Francis Sowerby Macaulay
Jan Arnoldus Schouten
Ernest William Hobson
Willem Abraham Wythoff
Edward Kasner
Paul Pierre Lévy
Grigorii Mikhailovich Fichtenholz
Eduard Weyr
Egon Pearson
H. F. Baker
William Henry Bragg
George David Birkhoff
Margarethe Kahn
Alfred Russel Wallace
Ludwig Stickelberger
Stanley Skewes
Gyula Kőnig
Hjalmar Mellin
Luitzen Egbertus Jan Brouwer
"Sir George Stokes, 1st Baronet"
Louis J. Mordell
Gino Fano
Vojtěch Jarník
Arthur Herbert Copeland
Alfredo Capelli
Arthur Cayley
Nikolai Luzin
Hector Munro Macdonald
Giuseppe Lauricella
Douglas Hartree
Alfred North Whitehead
Charles Sanders Peirce
Augustus De Morgan
Ludwig Föppl
Kārlis Balodis
Henry M. Sheffer
Eric Harold Neville
Torsten Carleman
Stanisław Leśniewski
Harry Vandiver
Dmitry Grave
Dirk Jan Struik
Kazimierz Ajdukiewicz
Grace Chisholm Young
Erik Ivar Fredholm
Julius Petersen
Giovanni Frattini
Norbert Wiener
Stefan Banach
Yegor Ivanovich Zolotarev
Carlo Somigliana
Robert H. Goddard
József Kürschák
Rolf Nevanlinna
Paul Bernays
Florian Cajori
Geoffrey Ingram Taylor
Andreas Speiser
Jean-Claude Bouquet
Platon Poretsky
Antoni Łomnicki
Tadeusz Ważewski
Frigyes Riesz
Oscar Zariski
Joseph Leonard Walsh
Erich Rothe
Alexander Aitken
Spiru Haret
Teofil Żebrawski
Jean Gaston Darboux
Aleksandr Kotelnikov
Otto Schmidt
Ernest Julius Wilczynski
Ernest de Jonquières
James Whitbread Lee Glaisher
Eugène Rouché
Ludwig Berwald
Bruno Abakanowicz
Giovanni Vailati
Theodore von Kármán
Niels Henrik Abel
Georg Bohlmann
Wilhelm Franz Meyer
George F C Griss
Percy Alexander MacMahon
Joseph Jean Baptiste Neuberg
Maurice Lévy
Edward Vermilye Huntington
Roland Weitzenböck
Theodor Vahlen
Felix Pollaczek
Johann Heinrich Jakob Müller
Iris Runge
Henry John Stephen Smith
Peter Guthrie Tait
Georg Scheffers
Mauro Picone
Luther P. Eisenhart
G.H. Hardy
Francis Guthrie
Giulio Ascoli
Hilda Geiringer
Eduard Čech
Alfred J. Lotka
Harald Cramér
Samuel Earnshaw
Lazar Lyusternik
Pafnuty Chebyshev
Vyacheslav Stepanov
Sofya Yanovskaya
Sōichi Kakeya
Victor Schlegel
Virgil Snyder
Waloddi Weibull
Leonid Leibenzon
Joseph Liouville
Carl Anton Bretschneider
Charles Loewner
Wander Johannes de Haas
Gaetano Scorza
Aurel Voss
Charles Méray
Jenő Egerváry
Friedrich Dingeldey
Ivan Matveevich Vinogradov
Pavel Samuilovich Urysohn
Agner Krarup Erlang
Dimitrie Pompeiu
William Caspar Graustein
Salomon Bochner
Jules Tannery
Gabriel Xavier Paul Koenigs
Gaston Floquet
Georg Feigl
Georg Landsberg
Julio Rey Pastor
Gerhard Thomsen
Trygve Nagell
Abel Transon
Asaph Hall
Caspar Isenkrahe
Rudolf Rothe
Theodor Reye
Georges Valiron
Julius Weingarten
Piers Bohl
Joseph Ritt
Alexander Friedmann
Gerrit Mannoury
Ernst Hellinger
Sofia Kovalevskaya
Giuseppe Peano
Herman Hollerith
John Hasbrouck Van Vleck
Leopold Vietoris
Wilhelm Wirtinger
Mihajlo Pupin
Leonida Tonelli
Pavel Nekrasov
Viktor Valentinovich Novozhilov
Konstantin Posse
Andrea Razmadze
Andrey Markov
Mihailo Petrović
Vilhelm Bjerknes
Simon Newcomb
Jacques Hadamard
Henri Lebesgue
Aleksey Letnikov
Nikolai Mitrofanovich Krylov
Einar Hille
Kazimierz Kuratowski
Lewis Fry Richardson
George Chrystal
Jean Frédéric Frenet
Virginia Ragsdale
Tommy Bonnesen
Cyrus Colton MacDuffee
Peter Ludwig Mejdell Sylow
Luigi Bodio
Valery Glivenko
William Lawrence Bragg
Nikolai Bugaev
Cargill Gilston Knott
Chrystal Macmillan
Constantin Le Paige
Nikolay Umov
Paul Mansion
Robert de Montessus de Ballore
William Edward Story
Nikolai Maximovich Günther
Yulian Sokhotski
George W. Snedecor
Ivan Mikheevich Pervushin
E. T. Whittaker
Thomas Kirkman
Maria Montessori
Johannes Diderik van der Waals
Charles Hermite
František Koláček
Philip Franklin
Giovanni Sansone
Antonio Fais
Giuseppina Masotti Biggiogero
Ellen Hayes
Boleslav Mlodzeevskii
Isaac Hourwich
John Wesley Young
Tommaso Boggio
Olaus Henrici
Henri Brocard
Jakow Trachtenberg
Franz Mertens
Wolfgang Gröbner
Stefan Bergman
Rudolf Fueter
Selig Brodetsky
Pieter Hendrik Schoute
Gilbert Ames Bliss
Wilhelm Fiedler
Frank Lauren Hitchcock
Mykhailo Vaschenko-Zakharchenko
William Fleetwood Sheppard
Paul Riebesell
Klara Löbenstein
Angeline Stickney
Archibald Read Richardson
Arthur Byron Coble
Harry C. Carver
Karel Petr
Georgios Konstantinos Vouris
L. M. Milne-Thomson
Ljubomir Chakaloff
Georges Darmois
Giovanni Battista Guccia
Marcel Grossmann
Paul Finsler
Thorvald N. Thiele
Pierre Ossian Bonnet
Guglielmo Libri Carucci dalla Sommaja
Dmitry Morduhai-Boltovskoi
Frits Zernike
Raymond Louis Wilder
Léopold Leau
Domenico Montesano
Toshmuhammad Qori-Niyoziy
Yelpidifor Anempodistovich Kirillov
Lorenz Lindelöf
Karl Mikhailovich Peterson
Vsevolod Ivanovich Romanovsky
Samuil Shatunovsky
Boris Koyalovich
Theodore William Chaundy
Thomas Fiske
Alicia Boole Stott
George Bruce Halsted
Vassilios Lakon
Attilio Palatini
Alexander MacAulay
Alexandru Froda
Alfred Barnard Basset
Bohumil Bydžovský
Bohuslav Hostinský
Emanuel Czuber
Josiah Willard Gibbs
Émile Borel
Nadezhda Gernet
Enrico Bompiani
Ernesto Padova
Giorgio Mortara
Ramchundra
Carlo Severini
Konstantin Andreev
Oliver Dimon Kellogg
Gury Kolosov
Cyparissos Stephanos
Duncan Sommerville
Irving Stringham
Isaak Bacharach
Jan Śleszyński
Octav Onicescu
Henri Dulac
Hermann Brunn
Francisco Gomes Teixeira
Margherita Beloch Piazzolla
Raoul Bricard
William Burnside
Wawrzyniec Żmurko
Webster Wells
Ruel Vance Churchill
Jay Laurence Lush
Joichi Suetsuna
Josif Shtokalo
Jules Drach
Jules Molk
Gheorghe Țițeica
George Ballard Mathews
Georges Giraud
William Mitchinson Hicks
William Pitt Durfee
Yurii Dmitrievich Sokolov
Ziauddin Ahmad
Godofredo García
Francis Galton
Lester S. Hill
Lillian Rosanoff Lieber
Henry P. H. Bromwell
Isabel Maddison
Agnes Sime Baxter
William George Ward
Frithiof Nevanlinna
Fritz Carlson
August Davidov
Konstantinos Negris
Hamnet Holditch
Otto M. Nikodym
Mikhail Suslin
Henry Forder
Ernst Kötter
Friedrich Böhm
Helen M. Walker
Charles Ernest Weatherburn
Susan Miller Rambo
Suzan Rose Benedict
Harris Hancock
John Hymers
Charles Herschel Sisam
Clarence Lemuel Elisha Moore
Henri Milloux
Adolf Kiefer
Gustave Dumas
Horace Clifford Levinson
Lois Wilfred Griffiths
Paul Vincensini
Simon Spitzer
Johanna Piesch
Saly Ruth Ramler
Olga Tsuberbiller
Truman Lee Kelley
John Anthony Miller
Erich Kähler
Richard Brauer
Wilhelm Magnus
Kurt Otto Friedrichs
Bernhard Neumann
Paul Dirac
Hans Fitting
Hanna Neumann
Ernst Witt
Nina Bari
Fritz John
Gerhard Gentzen
Pascual Jordan
Lothar Collatz
Hans Lewy
Oswald Teichmüller
Lipman Bers
Gheorghe Vrănceanu
Robin Gandy
Herbert Seifert
Franz Rellich
Reinhold Baer
Élisabeth Lutz
Herman Otto Hartley
Georg Nöbeling
Martin Eichler
Max Deuring
Morris Kline
Arthur Geoffrey Walker
I. J. Good
Stanisław Ulam
Henryk Zygalski
Chaim L. Pekeris
Kurt Gödel
Banesh Hoffmann
Arthur Milgram
Hans Freudenthal
Sergey Nikolsky
Pál Turán
Werner Heisenberg
Jovan Karamata
Arne Beurling
Bruno de Finetti
Alfred Horn
Jean Delsarte
Kurt Hirsch
Gottfried Köthe
Nikolaus Hofreiter
Friedrich Karl Schmidt
Leopold Schmetterer
Albert W. Tucker
Wolfgang Heinrich Johannes Fuchs
Paul Lorenzen
Luis Santaló
Alexander Gelfond
Aryeh Dvoretzky
Max Bense
Rudolf Luneburg
Nachman Aronszajn
Jacob Wolfowitz
Maurice Wilkes
James H. Wilkinson
Bartel Leendert van der Waerden
Betty Holberton
Grace Hopper
Katherine Johnson
Mary Kenneth Keller
Klara Dan von Neumann
Max August Zorn
Grete Hermann
Otto Schilling
Aurel Wintner
Jean Kuntzmann
Graham Higman
Frederick Mosteller
Mark Kac
Boris Gnedenko
Richard Rado
László Rédei
Herman Goldstine
Adriaan van Wijngaarden
Helmuth Gericke
Max Black
Vladimir Kotelnikov
Richard Hamming
Alonzo Church
Eberhard Hopf
Otto Schreier
Ian Sneddon
Heinz Rutishauser
William Gemmell Cochran
Shaun Wylie
Bryant Tuckerman
György Hajós
Daniel Shanks
Jan Mikusiński
Ivan Vidav
Garrett Birkhoff
Sumner Byron Myers
Carl Benjamin Boyer
Martin Gardner
Hendrik Kloosterman
Kurt Schütte
Leonid Kantorovich
Stephen Cole Kleene
"William Penney, Baron Penney"
Adolf Lindenbaum
Hugo Hadwiger
Solomon Kullback
John Herivel
László Kalmár
Tibor Gallai
Harry Hinsley
Marshall Harvey Stone
Richard Friederich Arens
Hassler Whitney
Wassily Hoeffding
André Weil
Claude Shannon
Evert Willem Beth
Claude Chevalley
Eugene Lukacs
Giulio Racah
Stanisław Mazur
Edouard Zeckendorf
Gerrit Bol
Charles Coulson
Herbert Grötzsch
Erika Pannwitz
Helmut Grunsky
Georges de Rham
Shizuo Kakutani
Józef Marcinkiewicz
Nicholas Georgescu-Roegen
John Vincent Atanasoff
Frank P. Ramsey
David George Kendall
David Milman
Solomon Mikhlin
Israel Gelfand
Hans Schwerdtfeger
Wilhelm Cauer
Ott-Heinrich Keller
"Ralph P. Boas, Jr."
George Gallup
George Stibitz
Nicholas Metropolis
Karl Menger
André Lichnerowicz
Robert Frucht
David Blackwell
Georg Rasch
Kurt Mahler
Shiing-Shen Chern
Paul Halmos
Jan Hemelrijk
Pavel Petrovich Korovkin
Aleksei Zinovyevich Petrov
José Luis Massera
Ruy Luís Gomes
Richard K. Guy
Mark Krein
Pyotr Novikov
Magnus Hestenes
Renato Caccioppoli
Jurjen Ferdinand Koksma
Bernard Koopman
Abraham Wald
Max Euwe
Paul Erdős
Edward Norton Lorenz
Andrzej Mostowski
Ruth Moufang
Oskar Morgenstern
Wolfgang Doeblin
Klaus Wagner
Alexander Dinghas
Viktor Wagner
Lyudmila Keldysh
Daniel Pedoe
Nathan Jacobson
Curt Meyer
Aleksandr Andronov
Jean Dieudonné
Hendrik Casimir
Samuel Eilenberg
Olga Taussky-Todd
Yehoshua Bar-Hillel
Hua Luogeng
Philip Hall
Anton Kotzig
Antoni Zygmund
Tibor Szele
Wu Wenjun
Carl-Gustav Esseen
Stanisław Gołąb
Menahem Max Schiffer
Mark Naimark
Reuben Goodstein
Derrick Henry Lehmer
Kiyoshi Oka
"Charles B. Morrey, Jr."
Aleksei Pogorelov
Sergei Sobolev
Nelson Dunford
Cahit Arf
Kenkichi Iwasawa
Subrahmanyan Chandrasekhar
Andrey Kolmogorov
Christos Papakyriakopoulos
Clifford Hugh Dowker
Gerhard Ringel
Irving Segal
Francis Joseph Murray
Robert Alexander Rankin
Witold Hurewicz
Elliott Waters Montroll
Subbayya Sivasankaranarayana Pillai
Mina Rees
Deane Montgomery
Abraham Adrian Albert
Herbert Robbins
Hel Braun
Luigi Fantappiè
Alfred H. Clifford
Alice T. Schafer
Anders Hald
Jean Leray
Jessie MacWilliams
Grigore Moisil
Georgiy Shilov
Nikolai Kochin
Rose Peltesohn
George Forsythe
George W. Whitehead
Herman Wold
Joseph Ehrenfried Hofmann
Aleksei Ivanovich Markushevich
Wei-Liang Chow
Vera Faddeeva
Albrecht Fröhlich
Leonid Hurwicz
Lev Pontryagin
Ellis Kolchin
Sydney Goldstein
Eugene Wigner
Alston Scott Householder
Ivan M. Niven
George Bernard Dantzig
Alexey Lyapunov
Mary Cartwright
Jacob Levitzki
David van Dantzig
Wanda Szmielew
Henry Mann
Leonidas Alaoglu
Samuel S. Wilks
Sergei Fomin
Naum Meiman
Raymond Smullyan
Julia Hall Bowman Robinson
Walter Ledermann
Michel Loève
Yurii Mitropolskiy
J. A. Todd
Bruria Kaufman
Ronald Rivlin
Klaus Samelson
Miroslav Katětov
Felix Behrend
Willard Van Orman Quine
Shokichi Iyanaga
Douglas Northcott
Edward Marczewski
D. R. Kaprekar
László Fejes Tóth
Béla Szőkefalvi-Nagy
Albert Pfluger
Chung Kai-lai
Hans Zassenhaus
Raphael M. Robinson
Ivan Petrovsky
Irving Kaplansky
Daniel Edwin Rutherford
Aleksandr Gennadievich Kurosh
Saunders Mac Lane
Julian Schwinger
Jacques Deny
Jacques Herbrand
Charles Francis Richter
Aleksey Leontyev
Joseph Liberman
Gordon Welchman
Pierre Lelong
Werner Romberg
Edward J. McShane
Louis Guttman
Viktor Kupradze
Dorothy Maharam
Henry Wallman
Emilio Bajada
Edward Maitland Wright
Emma Castelnuovo
Alexandru Ghika
Andrew Vázsonyi
Andrzej Alexiewicz
Alexander Brudno
Kari Karhunen
Mary Celine Fasenmyer
Karol Borsuk
Alberto González Domínguez
Nikita Moiseyev
Ralph Fox
Laurence Chisholm Young
Hans Hermes
Harold Scott MacDonald Coxeter
Dragoslav Mitrinović
Fabio Conforto
Anatoly Maltsev
Patrick du Val
John Todd
Edgar Lorch
Edward G. Begle
Edward Linfoot
William Feller
José Enrique Moyal
Vitold Shmulyan
Z. W. Birnbaum
Lev Landau
Naum Akhiezer
John William Theodore Youngs
René Taton
Hans Rådström
Otto Frostman
Hans Rohrbach
Felix Gantmacher
Lynn Harold Loomis
Marian Rejewski
Henri Cartan
Dorothy Lewis Bernstein
Hans Samelson
Willem Jacob van Stockum
Friedrich Bachmann
Theodore Wilbur Anderson
Gordon Thomas Whyburn
Vladimir Abramovich Rokhlin
Robert Sorgenfrey
Lev Schnirelmann
Stanisław Jaśkowski
Richard Bruck
Richard Duffin
Richard Leibler
Robert P. Dilworth
Robert D. Richtmyer
Donald C. Spencer
J. Barkley Rosser
Kunihiko Kodaira
Kōsaku Yosida
Boris Demidovich
Jean Favard
Nicolaas Govert de Bruijn
Anatolii Dorodnitsyn
Guido Zappa
Lucio Lombardo-Radice
Luigi Amerio
Maria Cibrario Cinquini
Gustav A. Hedlund
Robert C. James
Gustave Choquet
Emil Grosswald
Børge Jessen
Kiiti Morita
Isidor Natanson
Robert Fortet
George Alfred Barnard
George B. Thomas
George Piranian
Georgi Bradistilov
Gheorghe Mihoc
Giuseppe Pompilj
Władysław Orlicz
Kiyoshi Itō
Roger Apéry
John Charles Chenoweth McKinsey
Sarvadaman Chowla
Dudley E. Littlewood
John L. Kelley
Gertrude Mary Cox
W. T. Tutte
Ralph S. Phillips
Anatol Rapoport
Olav Reiersøl
Hiroshi Okamura
Pat Moran
Harold Davenport
Norman Steenrod
Nicanor Parra
Joel Lee Brenner
Johannes de Groot
Alexey Ivakhnenko
Arnold Ross
Ashraf Huseynov
Nathan Mendelsohn
Danilo Blanuša
Sharadchandra Shankar Shrikhande
Shu Shien-Siu
Stefan E. Warschawski
George Szekeres
Alfred Tarski
Robert Horton Cameron
Nikolay Korobov
Yuri Linnik
Helena Rasiowa
Johann Jakob Burckhardt
Iosif Gikhman
Trygve Haavelmo
Raymond Paley
Ilia Vekua
Samarendra Nath Roy
Vladimir Andrunakievich
Roger Lyndon
Angus Ellis Taylor
Leonard Blumenthal
Vadim Arsenyevich Efremovich
Howard Eves
Kazimierz Zarankiewicz
Robert Schatten
Lars Ahlfors
R. H. Bing
Harry Pitt
Ruth Aaronson Bari
Laurent Schwartz
George Mackey
Emanuels Grīnbergs
Enzo Martinelli
James Murdoch Austin
Atle Selberg
Herbert Busemann
Đuro Kurepa
Adolph Winkler Goodman
Morgan Ward
Philip Woodward
James Dugundji
Jack Howlett
John Greenlees Semple
Zahid Khalilov
Sergei Nikolaevich Chernikov
Joseph Leo Doob
Mkhitar Djrbashian
Howard Levi
Carolyn Eisele
Rafael Artzy
Dmitry Raikov
